date,open,high,low,ltp,% change,turnover
2024-03-31,1379.8,1379.8,1330.1,1348.0,-0.59,1207288.0
2024-03-28,1324.3,1360.0,1323.5,1356.0,1.42,1759129.5
2024-03-27,1360.0,1360.0,1335.0,1337.0,-0.96,2417236.0
2024-03-26,1380.0,1380.0,1337.0,1350.0,-0.55,1298567.4
2024-03-25,1373.0,1373.0,1345.6,1357.5,0.10,1064927.4
2024-03-21,1382.1,1382.1,1350.0,1356.2,0.09,1358485.9
2024-03-20,1375.0,1390.0,1355.0,1355.0,-1.09,2923255.6
2024-03-19,1399.9,1399.9,1370.0,1370.0,-0.44,1449179.0
2024-03-18,1383.0,1390.0,1367.0,1376.0,0.88,636126.0
2024-03-17,1385.0,1388.0,1348.0,1364.0,0.12,2072807.0
2024-03-14,1411.0,1411.1,1362.0,1362.3,-5.20,4630037.4
2024-03-13,1440.0,1440.0,1400.0,1437.0,1.55,4206460.5
2024-03-12,1397.0,1415.3,1367.0,1415.0,3.28,10999399.3
2024-03-10,1350.0,1434.0,1328.0,1370.0,3.39,2567206.1
2024-03-07,1349.0,1365.0,1324.0,1325.1,-1.04,1534494.9
2024-03-06,1315.0,1345.0,1315.0,1339.0,-0.07,1687377.0
2024-03-05,1379.5,1380.0,1323.0,1340.0,-0.92,3139291.0
2024-03-04,1326.0,1352.5,1326.0,1352.5,4.04,278725.0
2024-03-03,1303.0,1305.0,1291.0,1300.0,-1.14,4234446.3
2024-02-29,1349.0,1349.0,1315.0,1315.0,-0.96,2313306.7
2024-02-28,1320.0,1354.5,1302.1,1327.7,-0.55,3801192.6
2024-02-27,1325.0,1343.0,1325.0,1335.0,0.61,473395.0
2024-02-26,1330.0,1330.0,1305.1,1326.9,-0.23,3288743.7
2024-02-25,1313.0,1330.0,1312.2,1330.0,-0.56,1865389.2
2024-02-22,1348.0,1353.9,1316.1,1337.5,-0.04,3162052.7
2024-02-21,1315.2,1346.5,1315.2,1338.0,1.36,1413347.0
2024-02-20,1359.0,1360.0,1318.0,1320.1,-1.78,5920718.0
2024-02-18,1353.0,1360.0,1323.0,1344.0,-1.39,7543966.4
2024-02-15,1363.1,1374.9,1360.0,1363.0,-0.51,4663693.2
2024-02-14,1388.0,1389.0,1367.0,1370.0,-1.29,1494014.2
2024-02-13,1400.0,1400.0,1370.0,1387.9,-0.15,3452195.1
2024-02-12,1387.0,1395.0,1379.0,1390.0,0.00,6048432.5
2024-02-11,1390.0,1398.0,1390.0,1390.0,0.00,4013384.4
2024-02-08,1407.0,1407.0,1386.0,1390.0,-0.61,2091525.0
2024-02-07,1417.8,1499.0,1387.0,1398.5,0.61,1592181.0
2024-02-06,1413.0,1413.0,1390.0,1390.0,-0.50,1686100.4
2024-02-05,1388.0,1397.0,1378.0,1397.0,0.87,846017.0
2024-02-04,1382.0,1405.0,1379.0,1385.0,0.22,1198650.0
2024-02-01,1400.0,1400.0,1382.0,1382.0,-1.53,4225754.4
2024-01-31,1401.0,1414.0,1396.3,1403.5,0.16,5199177.5
